[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    910/3000 ( 30.3%) | loss=5.3698 | lr=3.00e-04 | tok=14.91M | tps=116511 | mfu=77.3%/gpu | mem=9.3G | 0.140s | grad=1.1693 | ETA=4.9m
  step    920/3000 ( 30.7%) | loss=4.9131 | lr=3.00e-04 | tok=15.07M | tps=115923 | mfu=76.9%/gpu | mem=9.3G | 0.139s | grad=1.1731 | ETA=4.8m
  step    930/3000 ( 31.0%) | loss=5.1351 | lr=3.00e-04 | tok=15.24M | tps=116141 | mfu=77.1%/gpu | mem=9.4G | 0.141s | grad=1.1536 | ETA=4.9m
  step    940/3000 ( 31.3%) | loss=5.0333 | lr=3.00e-04 | tok=15.40M | tps=116133 | mfu=77.1%/gpu | mem=9.3G | 0.139s | grad=1.0510 | ETA=4.8m
  step    950/3000 ( 31.7%) | loss=5.0815 | lr=3.00e-04 | tok=15.56M | tps=115996 | mfu=77.0%/gpu | mem=9.3G | 0.144s | grad=1.2120 | ETA=4.9m
  step    960/3000 ( 32.0%) | loss=4.6557 | lr=3.00e-04 | tok=15.73M | tps=115177 | mfu=76.4%/gpu | mem=9.4G | 0.142s | grad=1.2938 | ETA=4.8m
  step    970/3000 ( 32.3%) | loss=4.7479 | lr=3.00e-04 | tok=15.89M | tps=116551 | mfu=77.3%/gpu | mem=9.3G | 0.140s | grad=1.3192 | ETA=4.7m
  step    980/3000 ( 32.7%) | loss=5.0073 | lr=3.00e-04 | tok=16.06M | tps=114864 | mfu=76.2%/gpu | mem=9.4G | 0.144s | grad=1.1144 | ETA=4.9m
  step    990/3000 ( 33.0%) | loss=4.9078 | lr=3.00e-04 | tok=16.22M | tps=115027 | mfu=76.3%/gpu | mem=9.3G | 0.143s | grad=1.3371 | ETA=4.8m
  step   1000/3000 ( 33.3%) | loss=5.3027 | lr=3.00e-04 | tok=16.38M | tps=115390 | mfu=76.6%/gpu | mem=9.3G | 0.144s | grad=1.3307 | ETA=4.8m
    [VAL] loss=4.9224 ppl=137.34 bpb=1.1290
  step   1010/3000 ( 33.7%) | loss=4.7070 | lr=3.00e-04 | tok=16.55M | tps=115581 | mfu=76.7%/gpu | mem=9.3G | 0.143s | grad=1.2426 | ETA=4.8m
  step   1020/3000 ( 34.0%) | loss=4.8239 | lr=3.00e-04 | tok=16.71M | tps=114639 | mfu=76.1%/gpu | mem=9.4G | 0.145s | grad=1.2242 | ETA=4.8m
  step   1030/3000 ( 34.3%) | loss=4.9382 | lr=3.00e-04 | tok=16.88M | tps=114951 | mfu=76.3%/gpu | mem=9.3G | 0.145s | grad=1.2136 | ETA=4.8m
  step   1040/3000 ( 34.7%) | loss=4.6549 | lr=3.00e-04 | tok=17.04M | tps=115738 | mfu=76.8%/gpu | mem=9.3G | 0.140s | grad=1.2359 | ETA=4.6m
  step   1050/3000 ( 35.0%) | loss=4.5770 | lr=3.00e-04 | tok=17.20M | tps=116193 | mfu=77.1%/gpu | mem=9.3G | 0.142s | grad=1.2156 | ETA=4.6m
  step   1060/3000 ( 35.3%) | loss=4.8142 | lr=3.00e-04 | tok=17.37M | tps=115809 | mfu=76.8%/gpu | mem=9.3G | 0.139s | grad=1.2980 | ETA=4.5m
  step   1070/3000 ( 35.7%) | loss=5.0050 | lr=3.00e-04 | tok=17.53M | tps=116141 | mfu=77.1%/gpu | mem=9.4G | 0.139s | grad=1.3798 | ETA=4.5m
  step   1080/3000 ( 36.0%) | loss=4.8475 | lr=3.00e-04 | tok=17.69M | tps=114795 | mfu=76.2%/gpu | mem=9.4G | 0.145s | grad=1.3100 | ETA=4.6m
  step   1090/3000 ( 36.3%) | loss=4.9177 | lr=3.00e-04 | tok=17.86M | tps=116824 | mfu=77.5%/gpu | mem=9.3G | 0.144s | grad=1.2756 | ETA=4.6m
  step   1100/3000 ( 36.7%) | loss=5.0066 | lr=3.00e-04 | tok=18.02M | tps=115929 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.2737 | ETA=4.4m
  step   1110/3000 ( 37.0%) | loss=4.9410 | lr=3.00e-04 | tok=18.19M | tps=115270 | mfu=76.5%/gpu | mem=9.3G | 0.150s | grad=1.1563 | ETA=4.7m
  step   1120/3000 ( 37.3%) | loss=4.8844 | lr=3.00e-04 | tok=18.35M | tps=115020 | mfu=76.3%/gpu | mem=9.4G | 0.141s | grad=1.2094 | ETA=4.4m
  step   1130/3000 ( 37.7%) | loss=5.1324 | lr=3.00e-04 | tok=18.51M | tps=115403 | mfu=76.6%/gpu | mem=9.3G | 0.140s | grad=1.2133 | ETA=4.4m
  step   1140/3000 ( 38.0%) | loss=4.7271 | lr=3.00e-04 | tok=18.68M | tps=115854 | mfu=76.9%/gpu | mem=9.3G | 0.141s | grad=1.1466 | ETA=4.4m
  step   1150/3000 ( 38.3%) | loss=4.9164 | lr=3.00e-04 | tok=18.84M | tps=116243 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.5744 | ETA=4.3m
  step   1160/3000 ( 38.7%) | loss=4.8182 | lr=3.00e-04 | tok=19.01M | tps=115528 | mfu=76.7%/gpu | mem=9.4G | 0.140s | grad=1.3010 | ETA=4.3m
  step   1170/3000 ( 39.0%) | loss=4.5978 | lr=3.00e-04 | tok=19.17M | tps=115295 | mfu=76.5%/gpu | mem=9.4G | 0.146s | grad=1.1798 | ETA=4.5m
  step   1180/3000 ( 39.3%) | loss=5.0141 | lr=3.00e-04 | tok=19.33M | tps=115928 | mfu=76.9%/gpu | mem=9.4G | 0.140s | grad=1.1942 | ETA=4.2m
  step   1190/3000 ( 39.7%) | loss=4.5948 | lr=3.00e-04 | tok=19.50M | tps=114826 | mfu=76.2%/gpu | mem=9.3G | 0.140s | grad=1.3060 | ETA=4.2m
  step   1200/3000 ( 40.0%) | loss=5.1159 | lr=3.00e-04 | tok=19.66M | tps=115848 | mfu=76.9%/gpu | mem=9.4G | 0.142s | grad=1.1011 | ETA=4.3m
  step   1210/3000 ( 40.3%) | loss=4.6869 | lr=3.00e-04 | tok=19.82M | tps=114267 | mfu=75.8%/gpu | mem=9.3G | 0.141s | grad=1.5956 | ETA=4.2m
  step   1220/3000 ( 40.7%) | loss=4.4723 | lr=3.00e-04 | tok=19.99M | tps=115091 | mfu=76.4%/gpu | mem=9.3G | 0.139s | grad=1.5019 | ETA=4.1m
